"original_filename","canonical_filename","sha256","result"
"IMG_20260916_183645.jpg","SP-006_QS003_ramilla_03.jpg","0725cbd8cecf6e8eff6b795fd3817db086d3b69cc4ec3e6adf9e5be9a8acfe19","RENAMED"
"IMG_20260916_183700.jpg","SP-002_LC003_ramilla_01.jpg","5f0512cb303be46c89f8cceaeb8a7b4f8899adab4e3b8eb4efa7161d74cdd952","RENAMED"
"IMG_20260916_183707.jpg","SP-002_LC003_hojas_03.jpg","489b4ce53906c374a9e5301032251fb6bef1572e04df3aa55589bffba4172e48","RENAMED"
"IMG_20260916_183730.jpg","SP-002_LC004_ramilla_02.jpg","810866ac8119f38bac8e7b8ad6de0eb1aa8d3adb39eaaec3c9985108b7b9bb13","RENAMED"
"IMG_20260916_183828.jpg","SP-002_LC004_ramilla_03.jpg","f8f6ede8e0101f0704cd5b43954fda2cac8f6e71490b755d28308bf7b4e3f619","RENAMED"
"IMG_20260916_184027.jpg","SP-002_LC005_hojas_01.jpg","15f7459b09ffe3aaa48958d185d0ddb9b8f6f00d5be6cd0f299f15dfa70081b5","RENAMED"
"IMG_20260916_184214.jpg","SP-001_CA002_ramilla_01.jpg","bc13c228033b05add812599af8030562b4543e9d2e2eea48013280b52648c32b","RENAMED"
"IMG_20260916_184220.jpg","SP-001_CA002_hojas_03.jpg","61d22e28b4c72b5ac9b62bea6d98042dcbfdb21626b1d0624452099742d1ece9","RENAMED"
"IMG_20260916_184232.jpg","SP-001_CA002_hojas_04.jpg","9d3fa99318d5981058f35c39a4ffb49947a0a72b35448335d6d2f0bdacf07a01","RENAMED"
"IMG_20260916_184255.jpg","SP-001_CA002_hojas_05.jpg","c1af091c4538c98fd1498f2d379d99def9ef8aacb98906a3c64cd2de1afb6c8a","RENAMED"
"IMG_20260916_184313.jpg","SP-001_CA002_ramilla_02.jpg","d4f02486a212482e73e4fc818d3463e4a93c67fa24342ae6150bd6639edf963d","RENAMED"
